Duration,Date,Pulse,Maxpulse,Calories,Calories_per_Min,Pulse_Range
60,2020-12-01,110,130,409.1,6.82,20
60,2020-12-02,117,145,479.0,7.98,28
60,2020-12-03,103,135,340.0,5.67,32
45,2020-12-04,109,175,282.4,6.28,66
45,2020-12-05,117,148,406.0,9.02,31
60,2020-12-06,102,127,300.0,5.0,25
60,2020-12-07,110,136,374.0,6.23,26
45,2020-12-08,104,134,253.3,5.63,30
30,2020-12-09,109,133,195.1,6.5,24
60,2020-12-10,98,124,269.0,4.48,26
60,2020-12-11,103,147,329.3,5.49,44
60,2020-12-12,100,120,250.7,4.18,20
60,2020-12-13,106,128,345.3,5.76,22
60,2020-12-14,104,132,379.3,6.32,28
60,2020-12-15,98,123,275.0,4.58,25
60,2020-12-16,98,120,215.2,3.59,22
60,2020-12-17,100,120,300.0,5.0,20
45,2020-12-18,90,112,304.7,6.77,22
60,2020-12-19,103,123,323.0,5.38,20
45,2020-12-20,97,125,243.0,5.4,28
60,2020-12-21,108,131,364.2,6.07,23
45,2020-12-22,100,119,282.0,6.27,19
60,2020-12-23,130,101,300.0,5.0,-29
45,2020-12-24,105,132,246.0,5.47,27
60,2020-12-25,102,126,334.5,5.58,24
60,2020-12-26,100,120,250.0,4.17,20
60,2020-12-27,92,118,241.0,4.02,26
60,2020-12-28,103,132,304.7,5.08,29
60,2020-12-29,100,132,280.0,4.67,32
60,2020-12-30,102,129,380.3,6.34,27
60,2020-12-31,92,115,243.0,4.05,23
